Doculect	Subfamily	ISO	ID	Glottolog	Longitude	Latitude	Concept	Form	Cognate_Class	Comment
Juruna	Juruna	jur	jur	juru1256	-53.3472	-10.9354	ANACONDA	adʒa / tuwĩ	3 /	
Mundurukú	Munduruku	myu	myu	mund1330	-57.691	-8.41095	ANACONDA	mərekobə		
Kuruaya	Munduruku	kyr	kyr	kuru1309	-52.2303	-3.09561	ANACONDA	numãbɨbɨ		
Sateré-Mawé	Mawé	mav	mav	sate1243	-56.8749	-3.63897	ANACONDA	sukuriu	1 7	
Awetí	Awetí	awe	awe	awet1244	-53.391944	-12.381944	ANACONDA	twajwatu		
Parakanã	Tupí-Guaraní	pak	pak	para1312	-50.0621	-4.64681	ANACONDA	maʃoho	5 7	
Tembé	Tupí-Guaraní	tqb	tqb	temb1276	-48.2359	-2.6123	ANACONDA	hukuri / mozuhu	1 / 5 7	
Guajajara	Tupí-Guaraní	gub	gub	guaj1255	-45.7081	-4.69461	ANACONDA	mozuhu	5 7	
Apiaká	Tupí-Guaraní	api	api	apia1248	-57.91	-7.84711	ANACONDA	masojga	2	
Tenharim	Tupí-Guaraní	xyz	xyz	????	-61.8972	-8.32882	ANACONDA	mbojuhua		
Araweté	Tupí-Guaraní	awt	awt	araw1273	-52.5001	-4.90246	ANACONDA	urukuku		
Guajá	Tupí-Guaraní	gvj	gvj	guaj1256	-46.3683	-3.93574	ANACONDA	tsikurihu	1 7	
Emerillon (Tekó)	Tupí-Guaraní	eme	eme	emer1243	-52.3699	3.23694	ANACONDA	boʤuhu	5 7	
Kamayura	Tupí-Guaraní	kay	kay	kama1373	-53.4651	-12.2661	ANACONDA	mojũ	5 7	
Tupinambá †	Tupí-Guaraní	tpn	tpn	tupi1273	-34.887	-8.1055	ANACONDA	sukuriju	1 7	
Nheengatu	Tupí-Guaraní	yrl	yrl	nhen1239	-66.9646	1.04503	ANACONDA	sukuriu	1 7	
Sirionó	Tupí-Guaraní	srq	srq	siri1273	-63.9688	-15.5298	ANACONDA	mbeɨ tʃusu	5	
Jorá	Tupí-Guaraní	jor	jor	jora1240	-63.21	-15.75	ANACONDA	mbej tʃusu	5	
Mbyá	Tupí-Guaraní	gun	gun	mbya1239	-52.711	-26.0188	ANACONDA	kuriju	1 7	
Guarani Paraguay	Tupí-Guaraní	gug	gug	para1311	-57.08816	-25.60551	ANACONDA	kuriju	1 7	
Makurap	Tuparí	mpu	mpu	maku1278	-64.3201	-11.8701	ANATTO	iko	4	
